,best_match_score,__id_left,__id_right,full_name_left,wine_country_left,wine_type_left,full_name_right,wine_country_right,wine_type_right
20802,0.050824847471803,223_left,1085_right,MATHILDE Grauburgunder,Deutschland,white,Schneider Grauburgunder,Deutschland,white
3047,0.050414455232265024,21_left,4765_right,Rhônetal RASTEAU Rouge,Frankreich,red,Domaine Montrose Rouge,Frankreich,red
17353,0.047824653559926954,185_left,290_right,CHABLIS 1er CRU Les Lys,Frankreich,white,La Chablisienne Chablis Grand Cru 'Les Preuses',Frankreich,white
15306,0.044638483059319764,159_left,8132_right,JEAN GEILER Pinot Blanc,Frankreich,white,Mader Pinot Blanc,Frankreich,white
22570,0.040005923891127636,249_left,6147_right,KÜNSTLER Terroir Blanc,Deutschland,white,Künstler Riesling Trocken,Deutschland,white
12409,0.0392894782377216,125_left,1599_right,KLOSTER EBERBACH Pinot Noir,Deutschland,red,Heitlinger Pinot Noir,Deutschland,red
18760,0.0357930126217793,197_left,8294_right,GARETTO Moscato d’Asti,Italien,white,Rivetti Massimo Maggiorina Moscato d'Asti,Italien,white
5932,0.03538382383046593,50_left,5904_right,ANTICOSASSO Merlot,Italien,red,Tramin Merlot,Italien,red
14891,0.0339072751122351,156_left,1271_right,DOMAINE DE LA QUILLA Muscadet,Frankreich,white,Domaine de la Renaudie Sauvignon,Frankreich,white
5481,0.028926734497614317,43_left,3576_right,Les 49 Lignes,Frankreich,red,Delas Les Launes Crozes-Hermitage,Frankreich,red
4662,0.02845056501201787,34_left,5448_right,CHÂTEAU DE ROCHEMORIN Rouge,Frankreich,red,Château La Tour de By Château la Roque de By,Frankreich,red
21395,0.028047764005086552,232_left,852_right,DR. CRUSIUS Rhyolith Riesling,Deutschland,white,Dr. Loosen Riesling Trocken,Deutschland,white
22927,0.027925076601319022,254_left,3611_right,TABERNUS Blanc de Noirs,Deutschland,white,Fußer Blanc de Pinot Noir,Deutschland,white
16818,0.026958767313823576,178_left,1564_right,CIGALUS Blanc BIO**,Frankreich,white,Gérard Bertrand Domaine De Cigalus Blanc,Frankreich,white
11368,0.02663655551770679,109_left,669_right,VALSERRANO Reserva,Spanien,red,Muga Reserva,Spanien,red
8729,0.019792519531631317,80_left,2180_right,PRÀ Morandina Valpolicella Ripasso,Italien,red,Bertani Valpolicella Ripasso,Italien,red
17144,0.019251565251079163,182_left,1775_right,DISSENAY Chardonnay,Frankreich,white,Laroche Chardonnay,Frankreich,white
13984,0.019251565251079163,145_left,1775_right,FONFILE Chardonnay,Frankreich,white,Laroche Chardonnay,Frankreich,white
22831,0.017518800253169407,253_left,988_right,"GRANS Trittenheimer Apotheke 0,375 L",Deutschland,white,Ansgar Clüsserath Trittenheimer Apotheke Riesling Trocken,Deutschland,white
0,0.017338319844012063,0_left,7576_right,LE TAPIE Rouge,Frankreich,red,Domaine Bassac Le Manpôt Rouge,Frankreich,red
18764,0.011922285757545727,199_left,7209_right,WALCH - von Keller Weißburgunder,Italien,white,Van Volxem Weissburgunder,Deutschland,white
13261,0.008812525188005377,132_left,2434_right,PIRRAMIMMA Classic Shiraz,Australien,red,Heartland Shiraz,Australien,red
4881,0.008755524721571864,37_left,4765_right,CIGALUS Rouge,Frankreich,red,Domaine Montrose Rouge,Frankreich,red
17608,0.006165759720303292,188_left,11083_right,SOLIGO L'Arcata Prosecco Frizzante,Italien,white,San Simone Prosecco Frizzante,Italien,sparkling
11588,0.004142360687991952,113_left,65_right,THE GREAT TINTO 1 Liter,Spanien,red,Casa Rojo Alexander (The Great),Spanien,red
22729,0.0011350022112562748,251_left,3006_right,GRANS-FASSIAN Laurentiuslay GG,Deutschland,white,Grans-Fassian Apotheke Riesling GG VDP. Grosse Lage,Deutschland,white
5088,-0.007329125699625445,40_left,9920_right,CHÂTEAU DES FINES ROCHES,Frankreich,red,Domaine des Roches Neuves Bulles de Roche,Frankreich,sparkling
16076,-0.010017218837968472,168_left,5377_right,LURTON Diane Sauvignon Blanc,Frankreich,white,Le Val Sauvignon Blanc,Frankreich,white
22123,-0.01151068167065788,243_left,2450_right,SONNENHOF Grande Réserve,Deutschland,white,DiamAndes Grande Réserve,Argentinien,red
22013,-0.016528242762731037,241_left,5120_right,BRENNFLECK Sylvaner,Deutschland,white,Stefan Vetter Sylvaner,Deutschland,white
15961,-0.018188848006517603,166_left,5374_right,VIEIL ARMAND Gewurztraminer,Frankreich,white,Wolfberger Gewurztraminer Alsace,Frankreich,white
19526,-0.02167873601039241,207_left,2072_right,VAL DO SOSEGO Albariño,Spanien,white,Fefiñanes Albariño de Fefiñanes,Spanien,white
9579,-0.022278045154780306,89_left,12330_right,VECCHIA TORRE Syrah Primitivo,Italien,red,Vecchia Torre Leverano Rosato,Italien,rosé
13311,-0.02516289132234058,133_left,11007_right,BLEASDALE Frank Potts,Australien,red,Bleasdale Sparkling Shiraz,Australien,sparkling
2829,-0.02625614073135938,20_left,9978_right,CHÂTEAU BONNET Réserve,Frankreich,red,Alexandre Bonnet Grande Réserve Brut Champagne,Frankreich,sparkling
7350,-0.03340013468014031,64_left,7871_right,PASQUA Valpolicella,Italien,red,Pasqua Vigneti e Cantine Amarone della Valpolicella,Italien,red
23461,-0.03378335796193968,267_left,4146_right,PFAFFL Zeisen,Österreich,white,Weingut R&A Pfaffl Grüner Veltliner ZEISEN Weinviertel DAC,Österreich,white
15734,-0.0338701527636434,165_left,2806_right,DOMAINE DE REUILLY,Frankreich,white,Domaine de Fondrèche Nature,Frankreich,red
15378,-0.039261557902436364,163_left,1601_right,Ferrandière Grand Vin Blanc,Frankreich,white,Château l'Hospitalet Grand Vin La Clape Blanc,Frankreich,white
1201,-0.041472748320228174,9_left,2447_right,LES ORMIÈRES,Frankreich,red,Les Jamelles Merlot,Frankreich,red
5312,-0.04150788117305349,42_left,1158_right,CHÂTEAU MARZY,Frankreich,red,Château Malbec Bordeaux,Frankreich,red
3468,-0.04150788117305349,24_left,1158_right,CHÂTEAU PLAISANCE,Frankreich,red,Château Malbec Bordeaux,Frankreich,red
21293,-0.04562961760905538,231_left,1179_right,WILLEMS-WILLEMS Rosenberg,Deutschland,white,Markowitsch Rosenberg,Österreich,red
761,-0.047567994522556535,7_left,5731_right,DOMAINE DE GRANGENEUVE L'Initiale H,Frankreich,red,Domaine de l'Horizon Rouge,Frankreich,red
530,-0.048425601468598714,5_left,4765_right,CANTE CIGALE Rouge,Frankreich,red,Domaine Montrose Rouge,Frankreich,red
14076,-0.0533858124997557,147_left,2661_right,CAZAL VIEL Chardonnay-Viognier,Frankreich,white,Les Jamelles Viognier,Frankreich,white
6463,-0.05559061779886754,58_left,1417_right,SURANI Primitivo,Italien,red,Luccarelli Primitivo,Italien,red
6615,-0.059894289583850444,59_left,3299_right,LUIGI AVOGADRI Primitivo,Italien,red,Luigi Einaudi Dogliani,Italien,red
12431,-0.06091082188039011,127_left,4606_right,KÜNSTLER Spätburgunder Edition,Deutschland,red,Salwey Spätburgunder,Deutschland,red
8121,-0.061757803210048194,71_left,1813_right,LOMBARDO Nero d`Altura,Italien,red,Cusumano Nero d'Avola,Italien,red
20040,-0.06199654481650837,212_left,11237_right,TABERNUS Rosé,Deutschland,white,Heitlinger Rosé,Deutschland,rosé
10129,-0.06350229313730911,95_left,4119_right,VIÑA BOLANTA,Spanien,red,Viña Pedrosa Reserva,Spanien,red
13002,-0.06459214765888809,130_left,12616_right,EBERBACH Höllenberg,Deutschland,red,Kloster Eberbach Riesling Brut,Deutschland,sparkling
5730,-0.07171592021632112,49_left,1417_right,IL PUMO Primitivo,Italien,red,Luccarelli Primitivo,Italien,red
20475,-0.0731240133608049,218_left,1353_right,TABERNUS Kleine Blume Weiß,Deutschland,white,Marto Weiss,Deutschland,white
23052,-0.07644361522666669,261_left,227_right,HOFKELLER Riesling Leiste,Deutschland,white,Dönnhoff Riesling,Deutschland,white
13717,-0.07858209715550157,142_left,4968_right,UNGER Donauschotter,Österreich,red,Petra Unger Riesling Stein Gaisberg Reserve,Österreich,white
13848,-0.07858209715550157,143_left,4968_right,UNGER Distelwiese,Österreich,red,Petra Unger Riesling Stein Gaisberg Reserve,Österreich,white
2154,-0.08108775140025423,15_left,12914_right,Rhônetal DOMAINE SAINTE-ANNE Saint-Gervais,Frankreich,red,Chartogne-Taillet Sainte Anne Brut,Frankreich,sparkling
21433,-0.08153807058137132,233_left,4405_right,CORVERS Sonnenberg Riesling,Deutschland,white,Corvers Kauter R3 Riesling Remastered,Deutschland,white
6009,-0.081565418838854,52_left,2410_right,SALBANELLO Rosso,Italien,red,Antinori Villa Antinori Rosso,Italien,red
23747,-0.08582419604262916,271_left,4383_right,SCHMELZ Federspiel,Österreich,white,Domäne Wachau Riesling Federspiel Terrassen,Österreich,white
11418,-0.08922308208437668,110_left,2654_right,FERRAL Priorat,Spanien,red,Gratavinum 2πR Priorat,Spanien,red
9022,-0.09311575100418609,84_left,193_right,FRANCO FIORINA Barolo,Italien,red,Prunotto Barolo,Italien,red
