wine_id,wine_name,wine_winery,wine_country,wine_region,wine_year,wine_type,wine_price,wine_alcohol
9287717,Grüner Veltliner,New Chapter,Österreich,Traisental,2020,white,30.5,0.0
1135203,Sauvignon Blanc (Reserva),Casillero del Diablo,Chile,Casablanca Valley,2018,white,8.18,13.0
7976,Viña Alberdi Reserva,La Rioja Alta,Spanien,Rioja,2014,red,12.8,13.0
1480684,Le Volte,Ornellaia,Italien,Toscana,2016,red,25.0,14.5
1486705,Verdejo,Cune (CVNE),Spanien,Rueda,2019,white,5.61,13.0
1658423,Felsenberg GG,Dönnhoff,Deutschland,Nahe,2018,white,39.5,13.0
22918,Rosso di Montalcino,Banfi,Italien,Rosso di Montalcino,2019,red,12.5,14.5
2462391,Exmoor Chardonnay,Xanadu,Australien,Margaret River,2017,white,12.0,12.5
1132696,Reserva 5 Año,Protos,Spanien,Ribera del Duero,2015,red,25.9,14.0
3984360,Les Gâts Anjou,Domaine Patrick Baudouin,Frankreich,Anjou,2014,white,42.0,0.0
1207825,Lugana Lago,Zenato,Italien,Lugana,2020,white,7.9,0.0
96000,Crianza,Loriñón,Spanien,Rioja,2016,red,8.950000000000001,13.0
4393540,Scaia Paradiso,Tenuta Sant'Antonio,Italien,Veneto,2018,red,10.89,14.5
6897585,Contrada Santo Spirito Particella 466 Etna Rosso,Palmento Costanzo,Italien,Ätna,2016,red,39.9,0.0
11825,Barbera d’Alba,Bruno Giacosa,Italien,Piemont,2018,red,25.9,15.0
1176509,Sancerre Blanc,Domaine Cédrick Bardin,Frankreich,Obere Loire,2020,white,21.9,0.0
98783,Veraton Garnacha,Alto Moncayo,Spanien,Campo de Borja,2016,red,26.5,15.5
5089788,Falcata Blanco,Pago Casa Gran,Spanien,Valencia,2020,white,9.95,12.5
1497903,White Label Nik Weis Mehringer Alte Reben,Weingut Nik Weis - St. Urbans-Hof,Deutschland,Leiwen,2019,white,15.8,0.0
1163499,Rioja Reserva,El Meson,Spanien,Rioja,2016,red,11.9,13.5
1135872,Soave,Corte Giara,Italien,Soave,2019,white,6.25,12.5
1951731,Cabernet Sauvignon,Stone Barn,Vereinigte Staaten,Kalifornien,2016,red,8.19,13.0
1589378,Magic Mountain Rüdesheimer Riesling,Leitz,Deutschland,Rheingau,2018,white,17.5,13.0
7270330,Capsula Viola Chardonnay,Antinori,Italien,Toscana,2019,white,8.95,10.0
22766,Viña Albali Gran Reserva,Félix Solís,Spanien,Valdepeñas,2014,red,5.9,13.0
5361868,Cuvée Dalis,Endrizzi,Italien,Vigneti delle Dolomiti,2020,white,8.9,12.5
1117458,Pouilly-Fumé,Château de Tracy,Frankreich,Pouilly-Fumé,2018,white,28.0,13.5
1242389,Tinto,Quinta das Amoras,Portugal,Lissabon,2019,red,4.99,13.0
9399,Códice,Dominio de Eguren,Spanien,Castilla y León,2019,red,7.1,14.0
8537076,Blanc,Dr. Bürklin-Wolf,Deutschland,Pfalz,2020,white,9.5,12.0
77137,Unico,Vega Sicilia,Spanien,Ribera del Duero,2000,red,429.0,14.0
