,best_match_score,__id_left,__id_right,wine_name_left,wine_winery_left,wine_country_left,wine_region_left,wine_type_left,wine_name_right,wine_winery_right,wine_country_right,wine_region_right,wine_type_right
85831,0.9870007500633738,857_left,5531_right,Riesling Großes Gewächs Felsenberg,Weingut Schäfer-Fröhlich, Deutschland ,Nahe,white,Felsenberg Riesling GG,Schäfer-Fröhlich,Deutschland,Nahe,white
65880,0.9870007500633738,615_left,5531_right,Riesling Großes Gewächs Felsenberg,Weingut Schäfer-Fröhlich, Deutschland ,Nahe,white,Felsenberg Riesling GG,Schäfer-Fröhlich,Deutschland,Nahe,white
52110,0.9870007500633738,417_left,5531_right,Riesling Großes Gewächs Felsenberg,Weingut Schäfer-Fröhlich, Deutschland ,Nahe,white,Felsenberg Riesling GG,Schäfer-Fröhlich,Deutschland,Nahe,white
84730,0.9870007500633738,842_left,5531_right,Riesling Großes Gewächs Felsenberg,Weingut Schäfer-Fröhlich, Deutschland ,Nahe,white,Felsenberg Riesling GG,Schäfer-Fröhlich,Deutschland,Nahe,white
58744,0.9794995312044776,497_left,7685_right,Riesling trocken vom Muschelkalk,Ökonomierat Rebholz, Deutschland ,Pfalz,white,Vom Buntsandstein Riesling Trocken,Ökonomierat Rebholz,Deutschland,Pfalz,white
79491,0.9794995312044776,778_left,7685_right,Riesling trocken vom Muschelkalk,Ökonomierat Rebholz, Deutschland ,Pfalz,white,Vom Buntsandstein Riesling Trocken,Ökonomierat Rebholz,Deutschland,Pfalz,white
65222,0.9748093484566773,604_left,8961_right,SL Riesling trocken 1 Liter,Weingut Schloss Lieser, Deutschland ,Mosel,white,SL Riesling Trocken,Schloss Lieser,Deutschland,Mosel,white
62528,0.9700955158832844,567_left,1822_right,Grüner Veltliner Ried Steinsetz,Schloss Gobelsburg, Österreich ,Kamptal,white,Grüner Veltliner,Schloss Gobelsburg,Österreich,Kamptal,white
66412,0.9670224967951789,619_left,4675_right,Riesling Großes Gewächs Stromberg Magnum,Weingut Schäfer-Fröhlich, Deutschland ,Nahe,white,Stromberg Riesling GG,Schäfer-Fröhlich,Deutschland,Nahe,white
86363,0.9670224967951789,861_left,4675_right,Riesling Großes Gewächs Stromberg Magnum,Weingut Schäfer-Fröhlich, Deutschland ,Nahe,white,Stromberg Riesling GG,Schäfer-Fröhlich,Deutschland,Nahe,white
89328,0.9611349465160933,927_left,10806_right,XI. Triumvirat Grande Cuvée Brut,Sekthaus Raumland, Deutschland ,Rheinhessen,sparkling,Triumvirat Grande Cuvée Brut,Raumland,Deutschland,Rheinhessen,sparkling
68963,0.9569680744831782,650_left,6150_right,"Riesling trocken ""Vulkangestein""",Weingut Schäfer-Fröhlich, Deutschland ,Nahe,white,Riesling Trocken,Schäfer-Fröhlich,Deutschland,Nahe,white
51536,0.9569680744831782,406_left,6150_right,"Riesling trocken ""Vulkangestein""",Weingut Schäfer-Fröhlich, Deutschland ,Nahe,white,Riesling Trocken,Schäfer-Fröhlich,Deutschland,Nahe,white
62452,0.9557211233420174,563_left,244_right,Riesling Alte Reben Saar,Weingut Markus Molitor, Deutschland ,Saar,white,Saar Alte Reben Riesling,Markus Molitor,Deutschland,Mosel,white
49912,0.949727811156123,384_left,3097_right,Riesling trocken Laumersheimer 'Vom Kalksteinfels',Weingut Philipp Kuhn, Deutschland ,Pfalz,white,Riesling vom Kalksteinfels,Philipp Kuhn,Deutschland,Pfalz,white
81973,0.9392003479235949,799_left,3040_right,Riesling Großes Gewächs Hipping,Weingut Kühling-Gillot, Deutschland ,Rheinhessen,white,Hipping Riesling,Kühling-Gillot,Deutschland,Rheinhessen,white
63971,0.9392003479235949,591_left,3040_right,Riesling Großes Gewächs Hipping,Weingut Kühling-Gillot, Deutschland ,Rheinhessen,white,Hipping Riesling,Kühling-Gillot,Deutschland,Rheinhessen,white
85297,0.9392003479235949,849_left,3040_right,Riesling Großes Gewächs Hipping,Weingut Kühling-Gillot, Deutschland ,Rheinhessen,white,Hipping Riesling,Kühling-Gillot,Deutschland,Rheinhessen,white
61799,0.9380975687772215,534_left,182_right,Sauvignon Blanc KAITUI,Markus Schneider, Deutschland ,Pfalz,white,Kaitui Sauvignon Blanc,Schneider,Deutschland,Pfalz,white
86095,0.9352144131472014,859_left,5531_right,Riesling Großes Gewächs Felsenberg Magnum,Weingut Schäfer-Fröhlich, Deutschland ,Nahe,white,Felsenberg Riesling GG,Schäfer-Fröhlich,Deutschland,Nahe,white
66144,0.9352144131472014,617_left,5531_right,Riesling Großes Gewächs Felsenberg Magnum,Weingut Schäfer-Fröhlich, Deutschland ,Nahe,white,Felsenberg Riesling GG,Schäfer-Fröhlich,Deutschland,Nahe,white
58389,0.9350231427363256,489_left,2496_right,Chardonnay trocken -B-,Weingut Metzger, Deutschland ,Pfalz,white,Chardonnay Trocken,Weingut Metzger,Deutschland,Pfalz,white
53463,0.9283821400431324,441_left,1638_right,Riesling feinherb Haus Klosterberg,Weingut Markus Molitor, Deutschland ,Mosel,white,Haus Klosterberg Riesling Trocken,Markus Molitor,Deutschland,Mosel,white
