id,wine_name,wine_country,wine_region,wine_year,wine_type,wine_price,wine_alcohol,wine_seller
708,Weingut Kracher   2018 Eiswein 375 ml, Österreich ,Burgenland,2018,white,0,9.5,1
709,"Weingut Salwey, Baden   2019 Grauburgunder Kabinett trocken Gutswein", Deutschland ,Baden,2019,white,0,12.5,1
710,Weingut Egon Müller   2019 Riesling Auslese Scharzhofberger, Deutschland ,Saar,2019,white,0,8.5,1
711,Weingut Markus Molitor   2019 Chardonnay * Wehlener Klosterberg, Deutschland ,Mosel,2019,white,0,14,1
712,Kellerei Cantina Tramin   2018 Gewürztraminer 'Nussbaumer', Italien ,Südtirol/Alto Adige,2018,white,0,15,1
713,Weingut K.-H. Milch   2020 Blanc de Noir Spätburgunder trocken, Deutschland ,Rheinhessen,2020,white,0,12.5,1
714,"Weingut Wittmann, Bioweingut   2019 Weisser Burgunder trocken", Deutschland ,Rheinhessen,2019,white,0,12.5,1
715,Borgo Molino   2020 Pinot Grigio 'Ciari', Italien ,Veneto,2020,white,0,12.5,1
716,Borgo Molino   2019 Sauvignon Blanc Ciari, Italien ,Veneto,2019,white,0,12.5,1
717,Schloss Gobelsburg   2018 Grüner Veltliner Ried Renner Erste Lage ÖTW, Österreich ,Kamptal,2018,white,0,13.5,1
718,Weingut Metzger   2020 Weißburgunder trocken -B-, Deutschland ,Pfalz,2020,white,0,12,1
719,Bessin - Tremblay (Domaine Bessin)   2018 Chablis 1er Cru 'Fourchaume', Frankreich ,Bourgogne,2018,white,0,13.5,1
720,Bessin - Tremblay (Domaine Bessin)   2018 Chablis 1er Cru 'La Forêt', Frankreich ,Bourgogne,2018,white,0,13.5,1
721,Weingut Walter   2019 Riesling trocken '55 GRAD' Sonderedition, Deutschland ,Mosel,2019,white,0,12,1
722,"Ökonomierat Rebholz, Bioweingut   2018 Weißburgunder trocken Mandelberg GG", Deutschland ,Pfalz,2018,white,0,12,1
723,"Ökonomierat Rebholz, Bioweingut   2018 Riesling trocken Kastanienbusch GG", Deutschland ,Pfalz,2018,white,0,12,1
724,Weingut Engel   2019 Scheurebe trocken, Deutschland ,Rheinhessen,2019,white,0,12,1
725,"Domaine Lorenzon   2018 Mercurey Blanc 1er Cru ""Pièce 15""", Frankreich ,Bourgogne,2018,white,0,13,1
726,"Domaine Lorenzon   2018 Mercurey Blanc 1er Cru ""Les Champs Martin""", Frankreich ,Bourgogne,2018,white,0,13,1
727,"Farnese Vini srl   2019 Pinot Grigio ""Fantini"" Terre di Siciliani", Italien ,Sizilien,2019,white,0,12,1
728,Schloss Gobelsburg   2018 Grüner Veltliner Ried Grub Erste Lage ÖTW, Österreich ,Kamptal,2018,white,0,13.5,1
729,Weingut Emmerich Knoll   2018 Grüner Veltliner „Ried Schütt“ Smaragd Magnum, Österreich ,Wachau,2018,white,0,13.5,1
730,Weingut Markus Molitor   2018 Riesling Spätlese Zeltinger Sonnenuhr Weiße Kapsel, Deutschland ,Mosel,2018,white,0,12,1
731,"Weingut Bernhard Ott, Bioweingut   2018 Grüner Veltliner trocken Feuersbrunner SPIEGEL", Österreich ,Wagram,2018,white,0,13,1
732,"Weingut Bernhard Ott, Bioweingut   2018 Grüner Veltliner trocken Feuersbrunner ROSENBERG", Österreich ,Wagram,2018,white,0,13,1
733,Weingut Schäfer-Fröhlich   2018 Riesling Großes Gewächs FELSENECK Imperial, Deutschland ,Nahe,2018,white,0,13,1
734,"Weingut Schäfer-Fröhlich   2018 Riesling trocken ""Vulkangestein""", Deutschland ,Nahe,2018,white,0,12.5,1
735,"Weingut Schäfer-Fröhlich   2018 Riesling trocken ""Bockenauer Schiefergestein""", Deutschland ,Nahe,2018,white,0,13,1
736,Weingut Schloss Lieser   2018 Riesling Niederberg Helden GG Magnum, Deutschland ,Mosel,2018,white,0,12,1
737,Weingut Schloss Lieser   2018 Riesling trocken Goldtröpfchen GG Magnum, Deutschland ,Mosel,2018,white,0,12.5,1
738,Weingut Schloss Lieser   2018 Riesling Wehlener Sonnenuhr GG Magnum, Deutschland ,Mosel,2018,white,0,12.5,1
739,Weingut Schloss Lieser   2018 Riesling Wehlener Sonnenuhr GG, Deutschland ,Mosel,2018,white,0,12.5,1
740,Weingut Schloss Lieser   2018 Riesling trocken Goldtröpfchen GG, Deutschland ,Mosel,2018,white,0,12.5,1
741,Weingut Schloss Lieser   2018 Riesling Niederberg Helden GG, Deutschland ,Mosel,2018,white,0,12,1
742,Weingut Weedenborn   2019 Sauvignon Blanc Terra Rossa Westhofen, Deutschland ,Rheinhessen,2018,white,0,13,1
743,Weingut Weedenborn   2018 Chardonnay 'Reserve', Deutschland ,Rheinhessen,2017,white,0,13,1
744,Weingut Schäfer-Fröhlich   2018 Riesling trocken Felsenberg GG, Deutschland ,Nahe,2018,white,0,12.5,1
745,Weingut Schäfer-Fröhlich   2018 Riesling trocken Stromberg GG, Deutschland ,Nahe,2018,white,0,12.5,1
746,"Domaine Lorenzon   2017 Mercurey Blanc 1er Cru ""Les Champs Martin""", Frankreich ,Bourgogne,2017,white,0,13,1
747,Weingut Metzger   Riesling Brut -B-, Deutschland ,Pfalz,2018,white,0,12,1
748,Weingut Dönnhoff   2018 Riesling trocken Norheimer Dellchen GG, Deutschland ,Nahe,2018,white,0,13,1
749,Weingut Dönnhoff   2018 Grauburgunder -S -, Deutschland ,Nahe,2018,white,0,13.5,1
750,"Weingut Wittmann, Bioweingut   2014 Weisser Burgunder Reserve trocken", Deutschland ,Rheinhessen,2014,white,0,14,1
751,"Weingut Wittmann, Bioweingut   2018 Chardonnay Reserve trocken", Deutschland ,Rheinhessen,2018,white,0,14,1
752,"Weingut Wittmann, Bioweingut   2018 Weisser Burgunder Reserve trocken", Deutschland ,Rheinhessen,2018,white,0,14,1
753,Weingut Dönnhoff   2018 Riesling Spätlese Oberhäuser Brücke *Monopol*, Deutschland ,Nahe,2018,white,0,8,1
754,Weingut Dönnhoff   2018 Riesling Spätlese Niederhäuser Hermannshöhle, Deutschland ,Nahe,2018,white,0,8,1
755,"Domaine de Bila Haut   2017 Occultum Lapidem BLANC, Côtes du Roussillon Villages Latour de France", Frankreich ,Roussillon,2016,white,0,15,1
756,Domaine Ogereau   2017 Quarts de Chaume Grd. Cru 'La Martinière', Frankreich ,Loire,2017,white,0,11.5,1
757,Schlossgut Diel   2016 Pinot Blanc Reserve, Deutschland ,Nahe,2016,white,0,13,1
758,Weingut Schloss Lieser   2017 Riesling Niederberg Helden GG Magnum, Deutschland ,Mosel,2017,white,0,12,1
759,Weingut Schäfer-Fröhlich   2015 Riesling Kabinett Felseneck, Deutschland ,Nahe,2015,white,0,7,1
760,Weingut Reichsrat von Buhl   2017 Riesling trocken Forster Ungeheuer GG, Deutschland ,Pfalz,2017,white,0,13,1
761,Weingut Kracher   2017 Beerenauslese Cuvée 375 ml, Österreich ,Burgenland,2017,white,0,11,1
762,Weingut Emmerich Knoll   2017 Riesling Selection „Ried Pfaffenberg“ Magnum, Österreich ,Niederösterreich,2017,white,0,13.5,1
763,Domaine Blain-Gagnard   2017 Chassagne-Montrachet Blanc 1er Cru Caillerets, Frankreich ,Bourgogne,2017,white,0,13,1
764,Weingut Emmerich Knoll   2017 Riesling Smaragd „Ried Schütt“ Magnum, Österreich ,Wachau,2017,white,0,13.5,1
765,Weingut Emmerich Knoll   2017 Riesling Smaragd „Ried Kellerberg“ Magnum, Österreich ,Wachau,2017,white,0,13,1
766,Weingut Emmerich Knoll   2017 Riesling Selection „Ried Pfaffenberg“, Österreich ,Wachau,2017,white,0,13.5,1
767,Domaine Blain-Gagnard   2017 Chassagne-Montrachet Blanc 1er Cru Clos Saint Jean, Frankreich ,Bourgogne,2017,white,0,13,1
768,Domaine Blain-Gagnard   2017 Chassagne-Montrachet Blanc 1er Cru Boudriotte, Frankreich ,Bourgogne,2017,white,0,13,1
769,Weingut Emmerich Knoll   2017 Riesling Smaragd „Ried Kellerberg“, Österreich ,Wachau,2017,white,0,13,1
770,Weingut Emmerich Knoll   2017 Riesling Smaragd „Ried Schütt“, Österreich ,Wachau,2017,white,0,13.5,1
771,"Weingut Kühling-Gillot, Bioweingut   2017 Riesling trocken Pettenthal GG Magnum", Deutschland ,Rheinhessen,2017,white,0,12.5,1
772,"Weingut Kühling-Gillot, Bioweingut   2017 Riesling trocken Pettenthal GG", Deutschland ,Rheinhessen,2017,white,0,12.5,1
773,"Weingut Battenfeld-Spanier, Bioweingut   2017 Riesling trocken Zellerweg Am Schwarzen Herrgott GG", Deutschland ,Rheinhessen,2017,white,0,12.5,1
774,"Weingut Kühling-Gillot, Bioweingut   2017 Riesling trocken Hipping GG", Deutschland ,Rheinhessen,2017,white,0,12.5,1
775,"Weingut Battenfeld-Spanier, Bioweingut   2017 Riesling trocken Zellerweg Am Schwarzen Herrgott GG Magnum", Deutschland ,Rheinhessen,2017,white,0,12.5,1
776,Weingut Dönnhoff   2017 Riesling Spätlese Oberhäuser Brücke *Monopol*, Deutschland ,Nahe,2017,white,0,8,1
777,Weingut Schloss Lieser   2017 Riesling Juffer Sonnenuhr GG, Deutschland ,Mosel,2017,white,0,12,1
778,Weingut Reichsrat von Buhl   2016 Riesling trocken Jesuitengarten Forst GG, Deutschland ,Pfalz,2017,white,0,12.5,1
779,Weingut Schäfer-Fröhlich   2017 Riesling trocken Felsenberg GG, Deutschland ,Nahe,2017,white,0,12.5,1
780,Weingut Metzger   Blanc de Blanc Brut -A- 100% Chardonnay, Deutschland ,Pfalz,,white,0,12.5,1
781,Weingut Velich   2013 Chardonnay Beerenauslese SW 375 ml, Österreich ,Burgenland,2013,white,0,15,1
782,"Domaine Lorenzon   2016 Mercurey Blanc Premier Cru ""Les Champs Martin""", Frankreich ,Bourgogne,2016,white,0,13,1
783,Weingut Markus Molitor   2015 Riesling Auslese *** Goldkapsel Zeltinger Sonnenuhr 375 ml, Deutschland ,Mosel,2015,white,0,7.5,1
784,Weingut Markus Molitor   2015 Riesling Auslese *** Goldkapsel Zeltinger Sonnenuhr, Deutschland ,Mosel,2015,white,0,7.5,1
785,Weingut Markus Molitor   2015 Riesling Spätlese Zeltinger Sonnenuhr Magnum, Deutschland ,Mosel,2015,white,0,7.5,1
786,Liliac   2017 Eiswein 'ICE WINE 375 ml, Rumänien ,Transsilvanien,2017,white,0,11.5,1
787,Weingut Reichsrat von Buhl   2016 Riesling trocken Pechstein Forst GG, Deutschland ,Pfalz,2016,white,0,13,1
788,Weingut Markus Molitor   2015 Riesling Auslese *** trocken Zeltinger Sonnenuhr Magnum, Deutschland ,Mosel,2015,white,0,12.5,1
789,Weingut Dönnhoff   2016 Riesling Spätlese Niederhäuser Hermannshöhle Magnum, Deutschland ,Nahe,2016,white,0,11,1
790,"Weingut Battenfeld-Spanier, Bioweingut   2015 Riesling trocken Frauenberg GG Doppelmagnum", Deutschland ,Rheinhessen,2015,white,0,12.5,1
791,"Weingut Schloss Lieser   2016 Riesling SL Spätlese trocken ""Helden""", Deutschland ,Mosel,2016,white,0,12,1
792,Weingut Schäfer-Fröhlich   2016 Riesling trocken Felsenberg GG, Deutschland ,Nahe,2016,white,0,13,1
793,Weingut Markus Molitor   2015 Riesling Auslese ** fruchtsüß Bernkasteler Badstube Grüne Kapsel, Deutschland ,Mosel,2015,white,0,8,1
794,Weingut Reichsrat von Buhl   2016 Riesling trocken Forster Ungeheuer GG Magnum, Deutschland ,Pfalz,2016,white,0,13,1
795,Weingut Reichsrat von Buhl   2016 Riesling trocken Forster Ungeheuer GG, Deutschland ,Pfalz,2016,white,0,13,1
796,"Weingut Kühling-Gillot, Bioweingut   2016 Riesling trocken Hipping GG Magnum", Deutschland ,Rheinhessen,2016,white,0,12.5,1
797,"Weingut Kühling-Gillot, Bioweingut   2016 Riesling trocken Pettenthal GG Doppelmagnum", Deutschland ,Rheinhessen,2016,white,0,12.5,1
798,Weingut Reichsrat von Buhl   2015 Riesling trocken Forster Kirchenstück GG Magnum, Deutschland ,Pfalz,2015,white,0," 13, 14 ",1
799,Weingut Dönnhoff   2016 Riesling Spätlese Oberhäuser Brücke *Monopol* Magnum, Deutschland ,Nahe,2016,white,0,8,1
800,"Weingut Battenfeld-Spanier, Bioweingut   2015 Riesling trocken Frauenberg GG", Deutschland ,Rheinhessen,2015,white,0,12.5,1
801,"Weingut Kracher   2006 Chardonnay TBA Nr. 10 ""Nouvelle Vague"" 375 ml", Österreich ,Burgenland,2006,white,0,8.5,1
802,Weingut Velich   2006 Sämling Trockenbeerenauslese 375 ml, Österreich ,Burgenland,2006,white,0,12,1
803,Weingut Dönnhoff   2010 Riesling Trockenbeerenauslese Niederhäuser Hermannshöhle 375 ml, Deutschland ,Nahe,2010,white,0,8,1
804,Weingut K.-H. Milch   2016 Chardonnay trocken Nonnengarten, Deutschland ,Rheinhessen,2016,white,0,13.5,1
805,Weingut Markus Molitor   2015 Riesling Auslese *** trocken Zeltinger Sonnenuhr, Deutschland ,Mosel,2015,white,0,12.5,1
806,Weingut Dönnhoff   2016 Riesling Auslese Niederhäuser Hermannshöhle 'Goldkapsel', Deutschland ,Nahe,2016,white,0,7.5,1
807,Weingut Schloss Lieser   2016 Riesling Spätlese Niederberg Helden Magnum, Deutschland ,Mosel,2016,white,0,7.5,1
808,Weingut Markus Molitor   2015 Riesling Auslese *** fruchtsüß Ürziger Würzgarten, Deutschland ,Mosel,2015,white,0,12.5,1
809,Weingut Schloss Lieser   2015 Riesling Niederberg Helden GG Magnum, Deutschland ,Mosel,2015,white,0,12,1
810,Weingut Markus Molitor   2015 Riesling Auslese *** Goldkapsel Zeltinger Schlossberg, Deutschland ,Mosel,2015,white,0,11.5,1
811,Domaine de Chevalier   2006 Domaine de Chevalier blanc Magnum, Frankreich ,Bordeaux,2006,white,0,13,1
812,Weingut Reichsrat von Buhl   2016 Riesling trocken Pechstein Forst GG Magnum, Deutschland ,Pfalz,2016,white,0,13,1
813,Weingut Knebel   2015 Riesling Winninger Uhlen, Deutschland ,Mosel,2015,white,0,12.5,1
814,"Weingut Battenfeld-Spanier, Bioweingut   2014 Riesling trocken Frauenberg GG", Deutschland ,Rheinhessen,2014,white,0,12.5,1
815,"2016 Cascina Castlèt Passum Barbera d'Asti D.O.C.G. Superiore 1,5l Magnum",Italien,Piemont,2016,red,0,,2
