,wine_name,wine_country,wine_region,wine_year,wine_type,wine_price,wine_thumb,wine_url,wine_seller
110,Jean-Pierre Michel Macon Villages A.C. Terroir de Quintaine,Frankreich,Burgund,2013.0,white,15.9,https://www.divino.de/media/image/thumbnail/2013-Michel-Macon-Villages-frontal_150x240.jpg,https://www.divino.de/2013-jean-pierre-michel-macon-villages-a.c.-terroir-de-quintaine,2
111,Jean-Pierre Michel Viré-Clessé A.C. Terroirs de Quintaine,Frankreich,Burgund,2010.0,white,23.9,https://www.divino.de/media/image/thumbnail/getBinary-BinaryCodeID-1528549444cbb5e77_150x240.jpg,https://www.divino.de/2010-jean-pierre-michel-vire-clesse-a.c.-terroirs-de-quintaine,2
112,Kassner-Simon Merlot Blanc de Noir Q.b.A. trocken,Deutschland,Pfalz,2020,rosé,9.5,https://www.divino.de/media/image/thumbnail/2013-Kassner-Sp-tburgunder-frontal_150x240.jpg,https://www.divino.de/wein/weisswein-kassner-simon-merlot-blanc-de-noir-trocken,2
113,Kassner-Simon Euphorie Rosé Q.b.A. trocken,,,2020,,9.5,https://www.divino.de/media/image/thumbnail/2013-Kassner-Euphorie-Rose-frontal_150x240.jpg,https://www.divino.de/wein/kassner-simon-euphorie-rose,2
114,Cascina Castlèt Rosè Vino Rosato,Italien,Piemont,2020.0,rosé,8.7,https://www.divino.de/media/image/thumbnail/Castlet_rosato_150x240.png,https://www.divino.de/wein/rosee/cascina-castlet-rose-vino-rosato,2
115,Nicolas Duffour Le Galopin de Gascogne Rosé I.G.P.,Frankreich,Gascogne,2020,rosé,5.9,https://www.divino.de/media/image/thumbnail/Galopin_150x240.jpg,https://www.divino.de/wein/rosee/nicolas-duffour-le-galopin-de-gascogne-rose,2
116,Antech Crémant de Limoux Brut Rosé Cuvée Émotion,Frankreich,Languedoc-Roussillon,2017.0,rosé,13.9,https://www.divino.de/media/image/thumbnail/2013_Antech_Cremant_Emotion_150x240.png,https://www.divino.de/schaumwein/antech-cremant-de-limoux-brut-rose-cuve-emotion,2
117,Otero Finca Valleoscuro Rosado D.O.P. Valles de Benavente,Spanien,Valles de Benavente,2020,rosé,6.2,https://www.divino.de/media/image/thumbnail/Otero_VO_Rosado_2015_150x240.png,https://www.divino.de/wein/otero-valleoscuro-rosado-valles-de-benavente,2
118,Teanum VENTO Rosato Nero di Troia & Negroamaro,Italien,Apulien,2020.0,rosé,6.9,https://www.divino.de/media/image/thumbnail/getBinary-BinaryCodeID-1931_150x240.jpg,https://www.divino.de/wein/teanum-vento-rosato-nero-di-troia-negroamaro-puglia,2
119,"Grand Veneur Côtes du Rhône A.C. Rosé ""Bellissimé"" 0,375l",Frankreich,Côtes du Rhône,2019.0,rosé,5.2,https://www.divino.de/media/image/thumbnail/SW10540_2014-frontal_150x240.jpg,"https://www.divino.de/wein/grand-veneur-cotes-du-rhone-rose-bellissime-0,375l",2
120,Cantina di Venosa Verbo Rosato I.G.P. Basilicata,Italien,Basilikata,2020,rosé,8.4,https://www.divino.de/media/image/thumbnail/Venosa_verbo_rosato_150x240.png,https://www.divino.de/wein/cantina-di-venosa-verbo-rosato-aglianico-i.g.p.-basilicata,2
121,Weingut Hain Cuvée Rosé Q.b.A.,Deutschland,Mosel,2016.0,rosé,8.5,https://www.divino.de/media/image/thumbnail/2014_Hain_BlancDeNoir_150x240.png,https://www.divino.de/wein/weingut-hain-cuvee-rosee-rose,2
122,Domaine Girard Garriguette Rosé I.G.P.,Frankreich,Languedoc-Roussillon,2020.0,rosé,8.2,https://www.divino.de/media/image/thumbnail/Garriguette_150x240.png,https://www.divino.de/wein/domaine-girard-garriguette-rose-igp,2
123,Weingut Hain Spätburgunder Blanc de Noir Q.b.A. trocken,Deutschland,Mosel,2019.0,rosé,8.99,https://www.divino.de/media/image/thumbnail/2014_Hain_BlancDeNoir_150x240.png,https://www.divino.de/wein/weisswein/weingut-hain-spaetburgunder-blanc-de-noir-trocken,2
124,"Grand Veneur Côtes du Rhône A.C. Rosé ""Bellissime""",Frankreich,Côtes du Rhône,2019.0,rosé,8.7,https://www.divino.de/media/image/thumbnail/Jaume_GV_Bellissime_2019_150x240.png,https://www.divino.de/wein/grand-veneur-cotes-du-rhone-a.c.-rose-bellissime,2
125,Bagordi Rosado D.O.C. Rioja,Spanien,Rioja,2018,rosé,6.99,https://www.divino.de/media/image/thumbnail/Bagordi_Rosado_150x240.png,https://www.divino.de/wein/bagordi-rosado-d.o.c.-rioja,2
126,Specogna Pinot Grigio Venezia Giulia,Italien,Friaul - Julisch Venetien,2015.0,rosé,13.1,https://www.divino.de/media/image/thumbnail/getBinary549449e5443d6_150x240.jpg,https://www.divino.de/2015-specogna-pinot-grigio-venezia-giulia,2
127,Cantina Trerè Giòja Romagna Pagadebit Frizzante D.O.C.,Italien,Emilia-Romagna,2020,white,7.9,https://www.divino.de/media/image/thumbnail/Trere_Gioja_Pagadebit_150x240.png,https://www.divino.de/wein/weisswein/cantina-trere-re-gioja-romagna-pagadebit-frizzante-doc,2
128,Antech Crémant de Limoux A.C. Brut Cuvée Elixir,Frankreich,Languedoc-Roussillon,2013.0,sparkling,29.9,https://www.divino.de/media/image/thumbnail/getBinary-BinaryCodeID-1816_150x240.jpg,https://www.divino.de/schaumwein/antech-cremant-de-limoux-brut-cuvee-elixir,2
129,Antech Crémant de Limoux Brut Rosé Cuvée Émotion,Frankreich,Languedoc-Roussillon,2017.0,rosé,13.9,https://www.divino.de/media/image/thumbnail/2013_Antech_Cremant_Emotion_150x240.png,https://www.divino.de/schaumwein/antech-cremant-de-limoux-brut-rose-cuve-emotion,2
130,Antech Crémant de Limoux Brut A.C. Cuvée Eugenie,Frankreich,,2017.0,sparkling,13.9,https://www.divino.de/media/image/thumbnail/2012_Antech_Cremant_Eugenie_150x240.png,https://www.divino.de/schaumwein/antech-cremant-de-limoux-cuvee-eugenie-brut,2
131,Antech Crémant de Limoux A.C. Brut Cuvée Héritage,Frankreich,Languedoc-Roussillon,2017.0,sparkling,16.7,https://www.divino.de/media/image/thumbnail/SW10321_2012-frontal_150x240.jpg,https://www.divino.de/schaumwein/antech-cremant-de-limoux-brut-cuvee-heritage,2
132,"Casalini ""Rovede"" Prosecco di Valdobbiadene Spumante D.O.C.G. Superiore Brut",Italien,Veneto,,sparkling,11.99,https://www.divino.de/media/image/thumbnail/getBinary-BinaryCodeID-1739_150x240.jpg,https://www.divino.de/prosecco/casalini-prosecco-di-valdobbiadene-spumante-brut-superiore,2
133,"Antech Crémant de Limoux Brut A.C. Cuvée Eugenie Magnum (1,5l)",Frankreich,,2013.0,sparkling,29.9,https://www.divino.de/media/image/thumbnail/2012_Antech_Cremant_Eugenie_150x240.png,https://www.divino.de/antech-cremant-de-limoux-cuvee-eugenie-brut-magnum,2
134,Antech Blanquette de Limoux A.C. Doux et fruité Méthode ancestrale,Frankreich,Languedoc-Roussillon,,sparkling,11.99,https://www.divino.de/media/image/thumbnail/getBinary-BinaryCodeID-864_150x240.jpg,https://www.divino.de/schaumwein/antech-blanquette-de-limoux-a.c.-methode-ancestrale-doux-fruite,2
135,Antech Blanquette de Limoux Brut A.C. Cuvée Tradition,Frankreich,,,sparkling,11.3,https://www.divino.de/media/image/thumbnail/getBinary-BinaryCodeID-1982_150x240.jpg,https://www.divino.de/antech-blanquette-de-limoux-brut-cuvee-tradition,2
136,Weingut Hain Riesling Sekt Brut,Deutschland,Mosel,,sparkling,13.9,https://www.divino.de/media/image/thumbnail/getBinary-BinaryCodeID-2018_150x240.jpg,https://www.divino.de/weingut-hain-riesling-sekt-brut,2
137,"Casalini ""Cal Busa"" Prosecco di Valdobbiadene Spumante D.O.C.G. Superiore Extra Dry Magnum",Italien,Veneto,,sparkling,29.0,https://www.divino.de/media/image/thumbnail/getBinary-BinaryCodeID-1738_150x240.jpg,https://www.divino.de/prosecco/casalini-prosecco-di-valdobbiadene-superiore-extra-dry-magnum,2
138,"Casalini ""Cal Busa"" Prosecco di Valdobbiadene Spumante D.O.C.G. Superiore Extra Dry",Italien,Veneto,,sparkling,11.99,https://www.divino.de/media/image/thumbnail/getBinary-BinaryCodeID-1739_150x240.jpg,https://www.divino.de/prosecco/casalini-prosecco-di-valdobbiadene-extra-dry-superiore,2
