,best_match_score,__id_left,__id_right,wine_name_left,wine_winery_left,wine_country_left,wine_region_left,wine_type_left,wine_name_right,wine_winery_right,wine_country_right,wine_region_right,wine_type_right
20245,1.0123088362945534,164_left,3032_right,"brunello di montalcino ""tenuta nuova"" magnum",az. agr. casanova di neri, Italien ,Toscana,red,tenuta nuova brunello di montalcino,casanova di neri,Italien,Brunello di Montalcino,red
24602,1.0115071549213517,193_left,5807_right,lasendal selecció,celler de capçanes, Spanien ,Tarragona,red,lasendal selecció,celler de capçanes,Spanien,Montsant,red
61998,1.0097185333625711,558_left,2584_right,grauburgunder trocken -b-,weingut metzger, Deutschland ,Pfalz,white,grauburgunder trocken,weingut metzger,Deutschland,Pfalz,white
171,0.9981962486952598,10_left,2548_right,schwarzer trocken,weingut metzger, Deutschland ,Pfalz,red,kleiner schwarzer,weingut metzger,Deutschland,Pfalz,red
88463,0.9932024761517655,910_left,11877_right,sauvignon blanc brut,sektmanufaktur schloss vaux, Deutschland ,Pfalz,sparkling,sauvignon blanc brut,schloss vaux,Deutschland,Pfalz,sparkling
20756,0.989503473241946,169_left,2207_right,bolgheri superiore rosso 'sor ugo',aia vecchia, Italien ,Toscana,red,sor ugo bolgheri superiore,aia vecchia,Italien,Bolgheri Superiore,red
89212,0.988580472519451,925_left,9761_right,champagne rosé 'rosé de craie',champagne etienne calsac, Frankreich ,Champagne,sparkling,rose de craie rosé champagne,etienne calsac,Frankreich,Schaumwein,sparkling
85755,0.9870007500633738,857_left,5531_right,riesling großes gewächs felsenberg,weingut schäfer-fröhlich, Deutschland ,Nahe,white,felsenberg riesling gg,schäfer-fröhlich,Deutschland,Nahe,white
65868,0.9870007500633738,615_left,5531_right,riesling großes gewächs felsenberg,weingut schäfer-fröhlich, Deutschland ,Nahe,white,felsenberg riesling gg,schäfer-fröhlich,Deutschland,Nahe,white
52057,0.9870007500633738,417_left,5531_right,riesling großes gewächs felsenberg,weingut schäfer-fröhlich, Deutschland ,Nahe,white,felsenberg riesling gg,schäfer-fröhlich,Deutschland,Nahe,white
84654,0.9870007500633738,842_left,5531_right,riesling großes gewächs felsenberg,weingut schäfer-fröhlich, Deutschland ,Nahe,white,felsenberg riesling gg,schäfer-fröhlich,Deutschland,Nahe,white
58709,0.9794995312044776,497_left,7685_right,riesling trocken vom muschelkalk,ökonomierat rebholz, Deutschland ,Pfalz,white,vom buntsandstein riesling trocken,ökonomierat rebholz,Deutschland,Pfalz,white
79432,0.9794995312044776,778_left,7685_right,riesling trocken vom muschelkalk,ökonomierat rebholz, Deutschland ,Pfalz,white,vom buntsandstein riesling trocken,ökonomierat rebholz,Deutschland,Pfalz,white
65210,0.9748093484566773,604_left,8961_right,sl riesling trocken 1 liter,weingut schloss lieser, Deutschland ,Mosel,white,sl riesling trocken,schloss lieser,Deutschland,Mosel,white
62495,0.9700955158832844,567_left,1822_right,grüner veltliner ried steinsetz,schloss gobelsburg, Österreich ,Kamptal,white,grüner veltliner,schloss gobelsburg,Österreich,Kamptal,white
66400,0.9670224967951789,619_left,4675_right,riesling großes gewächs stromberg magnum,weingut schäfer-fröhlich, Deutschland ,Nahe,white,stromberg riesling gg,schäfer-fröhlich,Deutschland,Nahe,white
86287,0.9670224967951789,861_left,4675_right,riesling großes gewächs stromberg magnum,weingut schäfer-fröhlich, Deutschland ,Nahe,white,stromberg riesling gg,schäfer-fröhlich,Deutschland,Nahe,white
89227,0.9611349465160933,927_left,10806_right,xi. triumvirat grande cuvée brut,sekthaus raumland, Deutschland ,Rheinhessen,sparkling,triumvirat grande cuvée brut,raumland,Deutschland,Rheinhessen,sparkling
