,wine_name,wine_winery,wine_country,wine_region,wine_year,wine_type,wine_price,wine_alcohol,wine_thumb,wine_url,wine_seller
517,Riesling trocken,Weingut Schäfer-Fröhlich, Deutschland ,Nahe, 2020 ,white,11.5,12.0,https://www.wein-direktimport.de/media/image/55/6c/f2/2020-Riesling-trockenZIP_200x300.jpg,https://www.wein-direktimport.de/weine/deutschland/nahe/weingut-schaefer-froehlich/3963/2020-riesling-trocken?c=559,1
518,Weisswein 'Hensel & Gretel',Markus Schneider & Thomas Hensel, Deutschland ,Pfalz, 2020 ,white,12.9,13.0,https://www.wein-direktimport.de/media/image/7f/46/7d/2020-Hensel-Gretel-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/deutschland/pfalz/weingut-hensel-weingut-markus-schneider/3954/2020-weisswein-hensel-gretel?c=559,1
519,Riesling Kabinett Scharzhofberger,Weingut Egon Müller, Deutschland ,Saar, 2020 ,white,135.0,9.0,https://www.wein-direktimport.de/media/image/a1/ec/d5/2020-Scharzhofberger-Kabinett-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/deutschland/mosel-und-saar/weingut-egon-mueller/3947/2020-riesling-kabinett-scharzhofberger?c=559,1
520,Scharzhof Riesling,Weingut Egon Müller, Deutschland ,Saar, 2020 ,white,39.9,10.0,https://www.wein-direktimport.de/media/image/59/c2/39/2020-Scharzhof-QbA-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/deutschland/mosel-und-saar/weingut-egon-mueller/3946/2020-scharzhof-riesling?c=559,1
521,Riesling Kabinett Wiltinger braune Kupp,Weingut Egon Müller, Deutschland ,Saar, 2020 ,white,48.0,9.0,https://www.wein-direktimport.de/media/image/79/a8/97/Wiltinger-braune-Kupp-Kabinett-2020-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/deutschland/mosel-und-saar/weingut-egon-mueller/3949/2020-riesling-kabinett-wiltinger-braune-kupp?c=559,1
522,Grauburgunder trocken,Weingut Dönnhoff, Deutschland ,Nahe, 2020 ,white,12.9,12.5,https://www.wein-direktimport.de/media/image/d0/g0/e9/GB-Standard-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/deutschland/nahe/weingut-doennhoff/3938/2020-grauburgunder-trocken?c=559,1
523,Weißburgunder trocken,Weingut Dönnhoff, Deutschland ,Nahe, 2020 ,white,11.9,12.0,https://www.wein-direktimport.de/media/image/28/40/3e/WB-Standard-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/deutschland/nahe/weingut-doennhoff/3937/2020-weissburgunder-trocken?c=559,1
524,Weißburgunder & Grauburgunder trocken „Doppelstück“,Weingut Dönnhoff, Deutschland ,Nahe, 2020 ,white,17.5,12.0,https://www.wein-direktimport.de/media/image/55/df/5d/Doppelst-ck-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/deutschland/nahe/weingut-doennhoff/3940/2020-weissburgunder-grauburgunder-trocken-doppelstueck?c=559,1
525,Riesling trocken „Tonschiefer“,Weingut Dönnhoff, Deutschland ,Nahe, 2020 ,white,14.5,12.0,https://www.wein-direktimport.de/media/image/93/5b/5d/Tonschiefer-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/deutschland/nahe/weingut-doennhoff/3942/2020-riesling-trocken-tonschiefer?c=559,1
526,Riesling trocken,Weingut Dönnhoff, Deutschland ,Nahe,2020,white,11.0,11.5,https://www.wein-direktimport.de/media/image/e8/3d/5e/Riesling-trocken-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/deutschland/nahe/weingut-doennhoff/3939/2020-riesling-trocken?c=559,1
527,Rheingau Riesling trocken Literflasche,Weingut Robert Weil, Deutschland ,Rheingau, 2019 ,white,13.9,12.0,https://www.wein-direktimport.de/media/image/44/06/c9/Liter-2019-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/deutschland/rheingau/weingut-robert-weil/3920/2019-rheingau-riesling-trocken-literflasche?c=559,1
528,Le Blanc de Château Lynch Bages Pauillac,Château Lynch Bages, Frankreich ,Bordeaux, 2019 ,white,49.0,13.0,https://www.wein-direktimport.de/media/image/7c/5c/b7/Lynch-Bages-blanc-o-J_200x300.jpg,https://www.wein-direktimport.de/weine/frankreich/bordeaux-pauillac/chateau-lynch-bages/3916/2019-le-blanc-de-chateau-lynch-bages-pauillac?c=559,1
529,Lugana DOC 'I Frati',Cà dei Frati, Italien ,Lombardei, 2020 ,white,11.95,13.0,https://www.wein-direktimport.de/media/image/7b/96/05/Lugana-I-Frati-ZIP_200x300.jpg,https://www.wein-direktimport.de/weine/italien/lombardei/ca-dei-frati/4454/2020-lugana-doc-i-frati?c=559,1
530,Langhe Bianco 'Grey',Reva, Italien ,Piemont, 2019 ,white,21.0,13.5,https://www.wein-direktimport.de/media/image/e3/29/2f/greyXBxnky5jkOjvz_200x300.jpg,https://www.wein-direktimport.de/weine/italien/piemont/reva/3899/2019-langhe-bianco-grey?c=559,1
531,Riesling trocken Literflasche,Weingut Winter, Deutschland ,Rheinhessen, 2020 ,white,7.5,12.5,https://www.wein-direktimport.de/media/image/9f/e2/c0/Riesling-Liter-ZIPq8pVuefVYBBND_200x300.jpg,https://www.wein-direktimport.de/weine/deutschland/rheinhessen/weingut-stefan-winter/3878/2020-riesling-trocken-literflasche?c=559,1
